iter	Passed	Remaining
0	2	244
1	4	212
2	6	195
3	7	189
4	9	186
5	11	187
6	15	205
7	18	211
8	21	215
9	23	214
10	26	216
11	28	209
12	30	206
13	33	206
14	36	204
15	37	198
16	39	193
17	41	189
18	43	184
19	44	178
20	47	180
21	49	175
22	50	170
23	52	165
24	53	161
25	55	156
26	56	153
27	58	150
28	59	146
29	61	143
30	62	139
31	64	137
32	66	135
33	68	132
34	70	130
35	71	127
36	73	124
37	74	121
38	76	118
39	77	116
40	79	114
41	79	110
42	81	108
43	83	106
44	84	103
45	85	100
46	87	98
47	89	96
48	90	94
49	92	92
50	94	90
51	95	88
52	96	85
53	98	83
54	99	81
55	100	79
56	102	76
57	103	74
58	104	72
59	106	70
60	107	69
61	109	67
62	110	65
63	112	63
64	113	61
65	115	59
66	116	57
67	118	55
68	120	54
69	121	52
70	123	50
71	125	48
72	127	47
73	128	45
74	130	43
75	133	42
76	134	40
77	136	38
78	138	36
79	139	34
80	141	33
81	142	31
82	144	29
83	146	27
84	147	26
85	149	24
86	151	22
87	154	21
88	155	19
89	157	17
90	158	15
91	161	14
92	165	12
93	177	11
94	181	9
95	183	7
96	185	5
97	187	3
98	190	1
99	194	0
