iter	Passed	Remaining
0	64	64905
1	66	33220
2	67	22593
3	69	17248
4	71	14234
5	73	12101
6	74	10554
7	76	9443
8	77	8542
9	78	7819
10	80	7228
11	81	6736
12	83	6319
13	84	5980
14	86	5662
15	87	5379
16	88	5131
17	89	4909
18	91	4714
19	92	4539
20	93	4379
21	95	4234
22	96	4105
23	98	4017
24	100	3918
25	101	3811
26	102	3710
27	104	3618
28	105	3534
29	106	3456
30	108	3381
31	109	3310
32	110	3244
33	112	3203
34	114	3147
35	115	3092
36	116	3041
37	118	2990
38	119	2943
39	120	2898
40	122	2855
41	123	2813
42	125	2787
43	126	2752
44	127	2715
45	129	2680
46	130	2647
47	131	2617
48	133	2586
49	134	2557
50	135	2528
51	137	2502
52	139	2488
53	140	2468
54	142	2447
55	143	2423
56	145	2402
57	146	2380
58	148	2361
59	149	2340
60	150	2320
61	152	2301
62	154	2293
63	155	2278
64	157	2261
65	158	2247
66	160	2232
67	161	2213
68	163	2200
69	164	2183
70	165	2170
71	167	2158
72	169	2146
73	170	2133
74	171	2120
75	173	2107
76	174	2093
77	175	2079
78	177	2066
79	178	2054
80	180	2044
81	182	2040
82	183	2023
83	184	2012
84	186	2002
85	187	1992
86	188	1981
87	190	1970
88	191	1959
89	192	1950
90	194	1940
91	196	1935
92	197	1927
93	199	1919
94	200	1912
95	202	1907
96	203	1898
97	205	1888
98	206	1883
99	208	1876
100	210	1870
101	211	1863
102	213	1858
103	214	1852
104	216	1846
105	217	1837
106	219	1829
107	220	1822
108	222	1816
109	223	1809
110	225	1806
111	227	1801
112	228	1795
113	230	1788
114	231	1781
115	232	1774
116	234	1766
117	235	1761
118	237	1755
119	240	1761
120	242	1761
121	244	1756
122	245	1750
123	247	1745
124	248	1739
125	249	1733
126	251	1726
127	253	1727
128	255	1724
129	256	1719
130	258	1713
131	259	1708
132	261	1705
133	263	1699
134	264	1694
135	265	1689
136	268	1692
137	270	1689
138	272	1687
139	273	1683
140	276	1682
141	278	1680
142	279	1675
143	282	1679
144	284	1675
145	285	1672
146	287	1670
147	289	1667
148	291	1665
149	293	1662
150	296	1665
151	298	1666
152	302	1672
153	303	1667
154	304	1661
155	306	1656
156	307	1652
157	310	1653
158	316	1674
159	318	1671
160	319	1664
161	320	1659
162	322	1657
163	324	1656
164	326	1652
165	328	1649
166	329	1645
167	331	1640
168	332	1636
169	336	1644
170	338	1641
171	340	1639
172	342	1637
173	344	1634
174	346	1632
175	357	1675
176	359	1673
177	362	1673
178	365	1676
179	367	1674
180	369	1670
181	370	1665
182	371	1660
183	373	1654
184	374	1650
185	375	1645
186	377	1640
187	380	1644
188	382	1640
189	383	1636
190	385	1632
191	386	1628
192	388	1623
193	389	1619
194	391	1614
195	394	1617
196	396	1617
197	398	1613
198	399	1609
199	401	1605
200	403	1602
201	404	1597
202	405	1592
203	408	1593
204	410	1591
